module,condition,seed,iterations,stop_reason,tests_retained,total_tokens,n_tests,test_lines,asserts,raises_tests,suite_chars
jinja2.runtime,C,42,3,max iterations reached,11,34620,11,43,17,1,1789
jinja2.runtime,C,43,2,no coverage gain,6,24769,6,21,12,0,1062
jinja2.runtime,C,44,3,max iterations reached,13,36120,13,63,22,0,2895
markdown.blockprocessors,A,,0,human reference suite,0,0,0,0,0,0,0
markdown.blockprocessors,B,42,1,max iterations reached,0,8469,0,0,0,0,6438
markdown.blockprocessors,B,43,1,max iterations reached,0,8569,0,0,0,0,6698
markdown.blockprocessors,B,44,1,max iterations reached,0,8616,0,0,0,0,0
markdown.blockprocessors,C,42,2,no coverage gain,0,20507,0,0,0,0,6480
markdown.blockprocessors,C,43,2,no coverage gain,0,20979,0,0,0,0,6698
markdown.blockprocessors,C,44,2,no coverage gain,0,16404,0,0,0,0,0
markdown.extensions.md_in_html,A,,0,human reference suite,0,0,0,0,0,0,0
markdown.extensions.md_in_html,B,42,1,max iterations reached,0,5245,0,0,0,0,0
markdown.extensions.md_in_html,B,43,1,max iterations reached,4,5324,4,14,6,0,1169
markdown.extensions.md_in_html,B,44,1,max iterations reached,0,5231,0,0,0,0,0
markdown.extensions.md_in_html,C,42,2,no coverage gain,0,10366,0,0,0,0,0
markdown.extensions.md_in_html,C,43,3,no coverage gain,5,20166,5,18,7,0,1357
markdown.extensions.md_in_html,C,44,2,no coverage gain,0,10549,0,0,0,0,0
markdown.inlinepatterns,A,,0,human reference suite,0,0,0,0,0,0,0
markdown.inlinepatterns,B,42,1,max iterations reached,1,11711,1,4,3,0,1545
markdown.inlinepatterns,B,43,1,max iterations reached,1,13041,1,4,3,0,7257
markdown.inlinepatterns,B,44,1,max iterations reached,0,12558,0,0,0,0,0
markdown.inlinepatterns,C,42,2,no coverage gain,1,25342,1,4,3,0,960
markdown.inlinepatterns,C,43,2,no coverage gain,1,29261,1,4,3,0,7257
markdown.inlinepatterns,C,44,3,no coverage gain,2,39592,2,8,4,0,6962
more_itertools.recipes,A,,0,human reference suite,0,0,0,0,0,0,0
more_itertools.recipes,B,42,1,max iterations reached,0,16811,0,0,0,0,0
more_itertools.recipes,B,43,1,max iterations reached,0,16811,0,0,0,0,0
more_itertools.recipes,B,44,1,max iterations reached,0,16811,0,0,0,0,0
more_itertools.recipes,C,42,2,no coverage gain,0,32372,0,0,0,0,0
more_itertools.recipes,C,43,2,no coverage gain,0,32372,0,0,0,0,0
more_itertools.recipes,C,44,2,no coverage gain,0,32372,0,0,0,0,0
slugify.slugify,A,,0,human reference suite,0,0,0,0,0,0,24100
slugify.slugify,B,42,1,max iterations reached,0,2320,0,0,0,0,0
slugify.slugify,B,43,1,max iterations reached,0,2505,0,0,0,0,0
slugify.slugify,B,44,1,max iterations reached,0,2345,0,0,0,0,0
slugify.slugify,C,42,3,max iterations reached,0,7192,0,0,0,0,2166
slugify.slugify,C,43,2,no coverage gain,0,4551,0,0,0,0,0
slugify.slugify,C,44,2,no coverage gain,0,4505,0,0,0,0,0
slugify.special,A,,0,human reference suite,0,0,0,0,0,0,24100
slugify.special,B,42,1,max iterations reached,0,1116,0,0,0,0,0
slugify.special,B,43,1,max iterations reached,0,915,0,0,0,0,0
slugify.special,B,44,1,max iterations reached,0,1119,0,0,0,0,0
slugify.special,C,42,2,no coverage gain,0,2190,0,0,0,0,0
slugify.special,C,43,2,no coverage gain,0,2006,0,0,0,0,0
slugify.special,C,44,2,no coverage gain,0,2171,0,0,0,0,0
